學校類型,學校代碼,學校名稱,縣市別,學生宿舍床位數_床,自有宿舍床位數_床,教職員宿舍單身床位_床,教職員宿舍有眷戶數_戶,可使用校地-校舍基地_平方公尺,可使用校地-露天運動場地_平方公尺,可使用校地-其他校地_平方公尺,無法使用校地_平方公尺
私立大學,1021,真理大學,新北市,1078,1078,3,0,18277,36913,36276,0
私立大學,1021,真理大學,臺南市,0,0,42,4,19262,17643,190714,0
私立大學,1021,真理大學,高雄市,0,0,0,0,37,0,0,0
私立大學,1022,大同大學,臺北市,1018,1018,0,0,8254,14240,35401,0
私立大學,1023,南臺科技大學,臺南市,3616,3616,0,0,46250,21830,96518,0
私立大學,1024,崑山科技大學,臺南市,2257,2257,12,0,31905,47686,83210,1058
私立大學,1025,嘉南藥理大學,臺南市,4992,4992,0,0,55549,32190,160744,0
私立大學,1026,樹德科技大學,高雄市,3122,3122,44,0,30801,34320,309422,3172
私立大學,1027,慈濟大學,花蓮縣,3346,3346,44,62,86708,60258,482854,0
私立大學,1028,臺北醫學大學,臺北市,908,840,0,0,26666,12381,32475,2290
私立大學,1029,中山醫學大學,臺中市,1579,1579,18,0,28607,21678,45673,37
私立大學,1029,中山醫學大學,苗栗縣,0,0,0,0,0,0,0,418028
私立大學,1030,龍華科技大學,桃園市,1452,1317,0,0,18372,4145,48338,0
私立大學,1031,輔英科技大學,高雄市,2460,2460,21,7,29064,42759,98838,2167
私立大學,1032,明新科技大學,新竹縣,2171,2171,103,0,42195,45270,145342,0
私立大學,1033,長榮大學,臺南市,2992,2992,70,0,31578,37046,205091,0
私立大學,1034,弘光科技大學,臺中市,1114,1008,0,0,22573,18942,57704,0
私立大學,1035,中國醫藥大學,臺中市,1037,1037,0,0,13774,4971,33480,140406
私立大學,1035,中國醫藥大學,雲林縣,676,676,0,0,3043,2160,13520,0
私立大學,1036,健行科技大學,桃園市,1520,1466,3,0,17431,7180,24136,0
私立大學,1037,正修科技大學,高雄市,1732,986,0,0,40060,9026,39941,0
私立大學,1038,萬能科技大學,桃園市,2220,1900,0,0,16285,21300,29695,23480
私立大學,1039,玄奘大學,新竹市,1254,1254,31,0,20409,17970,126942,0
私立大學,1040,建國科技大學,彰化縣,554,554,0,0,18276,14608,66147,0
私立大學,1041,明志科技大學,新北市,2839,2839,26,140,22479,38210,558342,0
私立大學,1042,高苑科技大學,高雄市,1542,1542,0,0,27610,28338,53969,0
私立大學,1043,大仁科技大學,屏東縣,1302,1302,0,0,23927,31997,265202,0
私立大學,1044,聖約翰科技大學,新北市,1148,1148,0,1,21779,23341,67273,0
私立大學,1045,嶺東科技大學,臺中市,1372,1372,0,0,19935,18657,178115,0
私立大學,1046,中國科技大學,臺北市,58,58,0,0,10571,8674,34894,0
私立大學,1046,中國科技大學,新竹縣,1274,1274,51,0,11590,17162,112877,0
私立大學,1047,中臺科技大學,臺中市,1088,1088,15,10,18695,10072,69121,0
私立大學,1048,亞洲大學,臺中市,4395,4395,0,0,31904,18669,216495,0
私立大學,1049,開南大學,桃園市,1636,1636,0,0,29898,85054,17429,20000
私立大學,1050,佛光大學,宜蘭縣,1977,1042,79,93,25792,10400,218879,323177
私立大學,1051,台南應用科技大學,臺南市,1596,1304,26,2,32582,31621,80162,0
私立大學,1052,遠東科技大學,臺南市,2017,2017,0,0,26064,16620,77952,0
私立大學,1053,元培醫事科技大學,新竹市,1247,580,0,0,44606,14219,22503,44696
私立大學,1054,景文科技大學,新北市,1132,1132,0,0,14494,25243,76454,0
私立大學,1055,中華醫事科技大學,臺南市,2287,2248,0,0,20967,11325,65203,0
私立大學,1056,東南科技大學,新北市,1082,1082,5,0,14535,10446,89831,0
私立大學,1057,德明財經科技大學,臺北市,749,607,2,0,37840,11855,11137,0
私立大學,1058,明道大學,彰化縣,1776,695,6,18,22757,59316,329205,0
私立大學,1060,南開科技大學,南投縣,880,880,0,0,15162,13055,63813,0
私立大學,1061,中華科技大學,臺北市,462,462,0,0,21529,5600,27018,0
私立大學,1061,中華科技大學,新竹縣,355,355,10,0,16066,4423,1000,66281
私立大學,1061,中華科技大學,雲林縣,115,0,6,0,2935,3124,284516,5453
私立大學,1062,僑光科技大學,臺中市,873,865,0,0,14966,7959,34337,0
私立大學,1063,育達科技大學,新北市,0,0,0,0,0,0,0,79034
私立大學,1063,育達科技大學,苗栗縣,1152,1148,61,19,45549,21428,50596,0
私立大學,1064,美和科技大學,屏東縣,892,880,0,0,15248,4951,30375,0
私立大學,1065,吳鳳科技大學,嘉義縣,1288,1288,4,1,25889,28320,78647,0
私立大學,1066,環球科技大學,雲林縣,1028,906,8,16,25408,34351,238704,0
私立大學,1067,台灣首府大學,臺南市,767,767,22,0,15360,10200,83702,56025
私立大學,1068,中州科技大學,彰化縣,984,966,0,0,13917,4348,42480,0
私立大學,1069,修平科技大學,臺中市,1036,1036,0,0,17433,12372,66227,0
私立大學,1070,長庚科技大學,桃園市,5122,5122,112,0,30826,20886,87334,0
私立大學,1070,長庚科技大學,嘉義縣,2020,2020,0,0,21863,12415,121938,0
私立大學,1071,臺北城市科技大學,臺北市,1600,1600,0,0,27035,9689,50260,0
私立大學,1072,敏實科技大學,新竹縣,1167,272,0,0,18451,7113,65405,39557
私立大學,1073,醒吾科技大學,新北市,1389,991,0,0,15195,8439,32128,0
私立大學,1075,文藻外語大學,新北市,0,0,0,0,0,0,80,0
私立大學,1075,文藻外語大學,臺北市,0,0,0,0,139,0,0,0
私立大學,1075,文藻外語大學,高雄市,868,868,34,4,16201,28240,12435,0
私立大學,1076,華夏科技大學,新北市,468,0,32,1,10634,1457,47555,0
私立大學,1077,慈濟科技大學,花蓮縣,2434,2434,47,9,17659,16992,175398,0
私立大學,1078,致理科技大學,新北市,702,594,0,0,9785,30266,20206,0
私立大學,1079,康寧大學,臺北市,997,997,0,0,7448,2979,39773,23401
私立大學,1079,康寧大學,臺南市,1958,1958,116,0,13562,52162,125963,0
私立大學,1080,宏國德霖科技大學,新北市,430,430,0,0,19089,13206,90149,3216
私立大學,1081,東方設計大學,高雄市,595,595,0,0,15342,22582,52220,0
私立大學,1082,崇右影藝科技大學,新北市,0,0,0,0,0,0,786,260814
私立大學,1082,崇右影藝科技大學,基隆市,432,322,0,0,37095,12100,849,0
私立大學,1083,台北海洋科技大學,新北市,788,788,0,0,10483,1296,29292,0
私立大學,1083,台北海洋科技大學,臺北市,403,403,0,0,8775,6608,18881,0
私立大學,1084,亞東科技大學,新北市,218,177,4,0,9956,6409,43918,5638
私立學院,1125,中信金融管理學院,臺南市,683,683,49,0,13624,75000,166307,10326
私立學院,1148,大漢技術學院,花蓮縣,1427,1427,12,0,20644,73443,94965,0
私立學院,1159,和春技術學院,高雄市,928,928,10,0,33297,19674,59526,0
私立學院,1168,南亞技術學院,桃園市,553,545,0,0,13510,14120,23543,0
私立學院,1182,蘭陽技術學院,宜蘭縣,976,738,0,0,18780,14387,44649,4484
私立學院,1183,黎明技術學院,新北市,891,751,0,0,50525,11192,13512,0
私立學院,1185,經國管理暨健康學院,基隆市,774,774,0,0,8712,12000,95178,5785
私立學院,1188,大同技術學院,嘉義縣,433,0,0,0,4787,47401,45991,0
私立學院,1188,大同技術學院,嘉義市,396,396,16,0,7432,1980,14897,0
私立學院,1195,馬偕醫學院,新北市,688,688,9,3,14425,11726,166095,0
私立學院,1196,法鼓文理學院,新北市,540,540,150,9,135451,21956,63563,78143
私立學院,1196,法鼓文理學院,臺北市,0,0,0,0,529,0,0,0
私立專科,1282,馬偕醫護管理專科學校,新北市,1562,1542,5,5,7523,4349,73776,37084
私立專科,1282,馬偕醫護管理專科學校,臺北市,708,708,0,0,5200,814,8530,3
私立專科,1283,仁德醫護管理專科學校,苗栗縣,2360,2360,0,0,18603,6146,36037,0
私立專科,1284,樹人醫護管理專科學校,高雄市,1370,1360,0,0,17703,22834,108047,0
私立專科,1285,慈惠醫護管理專科學校,屏東縣,976,594,6,0,11670,35881,148324,0
私立專科,1286,耕莘健康管理專科學校,新北市,906,906,7,0,4908,3211,11756,0
私立專科,1286,耕莘健康管理專科學校,宜蘭縣,1712,1712,19,0,12778,17645,64195,0
私立專科,1286,耕莘健康管理專科學校,基隆市,0,0,0,0,0,0,53630,0
私立專科,1287,敏惠醫護管理專科學校,臺南市,1088,1088,0,0,29661,3327,77359,12589
私立專科,1289,育英醫護管理專科學校,高雄市,240,236,0,0,4523,6359,63609,0
私立專科,1291,聖母醫護管理專科學校,宜蘭縣,1086,1076,0,0,9352,3241,29179,0
私立專科,1292,新生醫護管理專科學校,桃園市,1288,1288,0,0,16969,7780,84629,0
私立專科,1293,崇仁醫護管理專科學校,嘉義縣,720,720,0,0,5868,5720,86412,0
私立專科,1293,崇仁醫護管理專科學校,嘉義市,297,297,0,0,3022,4712,15481,0
市立大學,3002,臺北市立大學,臺北市,1786,1690,7,2,34182,1223472,61678,0
宗教研修,1R02,基督教台灣浸會神學院,臺北市,64,64,0,8,13442,0,10658,0
宗教研修,1R03,臺北基督學院,新北市,562,562,14,11,7054,3925,26524,0
宗教研修,1R04,一貫道天皇學院,高雄市,0,0,0,0,10525,0,17185,14201
宗教研修,1R05,台灣神學研究學院,臺北市,213,213,9,44,5460,608,59123,0
宗教研修,1R06,一貫道崇德學院,南投縣,0,0,0,0,4100,0,15000,1441
宗教研修,1R07,台灣基督長老教會南神神學院,臺南市,90,0,10,11,28149,0,0,0
宗教研修,1R08,中華福音神學研究學院,桃園市,220,220,0,45,4830,1646,16356,309
宗教研修,1R09,唯心聖教學院,南投縣,0,0,0,0,2310,869,25563,0
